StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q18,Q3,Q4,Q83,Q87,Q89,Q91,Q80_1,Q81_1,Q82_1,Q83,Q86,Q86_5_TEXT,Q84,Q85,Q71_1,Q72_1,Q73_1,Q74,Q77,Q77_5_TEXT,Q75,Q76,Q62_1,Q63_1,Q64_1,Q65,Q68,Q68_5_TEXT,Q66,Q67,Q53_1,Q54_1,Q55_1,Q56,Q59,Q59_5_TEXT,Q57,Q58,Q35_1,Q36_1,Q37_1,Q38,Q41,Q41_5_TEXT,Q39,Q40,Q44_1,Q45_1,Q46_1,Q47,Q50,Q50_5_TEXT,Q48,Q49
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Consent,How often do you listen to music?,How many years of formal musical training do you have?,What is your English listening level? Choose the option that fits you best.,What is your age range?,Do you understand French at a B1 level or higher?,Do you understand Spanish at a B1 level or higher?,Emotional Intensity - This song was emotionally intense,Familiarity - This song felt familiar to me,Valence - How did this song make you feel overall,How much did you understand the lyrics?,Which element influenced your emotion the most during this clip? - Selected Choice,Which element influenced your emotion the most during this clip? - Other - Text,Did this clip trigger a personal memory?,"If yes, briefly describe the type of memory",Emotional Intensity - This song was emotionally intense,Familiarity - This song felt familiar to me,Valence - How did this song make you feel overall,How much did you understand the lyrics?,Which element influenced your emotion the most during this clip? - Selected Choice,Which element influenced your emotion the most during this clip? - Other - Text,Did this clip trigger a personal memory?,"If yes, briefly describe the type of memory",Emotional Intensity - This song was emotionally intense,Familiarity - This song felt familiar to me,Valence - How did this song make you feel overall,How much did you understand the lyrics?,Which element influenced your emotion the most during this clip? - Selected Choice,Which element influenced your emotion the most during this clip? - Other - Text,Did this clip trigger a personal memory?,"If yes, briefly describe the type of memory",Emotional Intensity - This song was emotionally intense,Familiarity - This song felt familiar to me,Valence - How did this song make you feel overall,How much did you understand the lyrics?,Which element influenced your emotion the most during this clip? - Selected Choice,Which element influenced your emotion the most during this clip? - Other - Text,Did this clip trigger a personal memory?,"If yes, briefly describe the type of memory",Emotional Intensity - This song was emotionally intense,Familiarity - This song felt familiar to me,Valence - How did this song make you feel overall,How much did you understand the lyrics?,Which element influenced your emotion the most during this clip? - Selected Choice,Which element influenced your emotion the most during this clip? - Other - Text,Did this clip trigger a personal memory?,"If yes, briefly describe the type of memory",Emotional Intensity - This song was emotionally intense,Familiarity - This song felt familiar to me,Valence - How did this song make you feel overall,How much did you understand the lyrics?,Which element influenced your emotion the most during this clip? - Selected Choice,Which element influenced your emotion the most during this clip? - Other - Text,Did this clip trigger a personal memory?,"If yes, briefly describe the type of memory"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID89""}","{""ImportId"":""QID93""}","{""ImportId"":""QID95""}","{""ImportId"":""QID97""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID83""}","{""ImportId"":""QID86""}","{""ImportId"":""QID86_5_TEXT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74""}","{""ImportId"":""QID77""}","{""ImportId"":""QID77_5_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65""}","{""ImportId"":""QID68""}","{""ImportId"":""QID68_5_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID56""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_5_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_5_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_5_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49_TEXT""}"
2026-01-20 08:18:41,2026-01-20 08:23:44,0,205.133.67.10,100,302,1,2026-01-20 08:23:44,R_7q35ETwaO2ydiNO,,,,,40.3724,-82.3807,anonymous,EN,1,1,3,5,1,2,2,6,5,7,5,2,,3,,6,5,6,1,2,,3,,5,4,5,5,2,,3,,4,3,5,1,2,,3,,6,4,4,5,2,,3,,5,4,4,1,2,,3,
2026-01-20 08:22:18,2026-01-20 08:28:23,0,161.51.79.106,100,364,1,2026-01-20 08:28:23,R_2wRobJdIW0kzoat,,,,,51.9179,4.4901,anonymous,EN,1,1,3,5,2,2,2,5,5,5,5,1,,3,,4,5,5,1,2,,2,Dance Monkey,4,6,6,4,3,,2,I have heard the chorus of the song before on social media,6,5,6,1,3,,3,,7,2,5,5,1,,3,,6,6,5,2,3,,3,
2026-01-20 08:26:08,2026-01-20 08:31:34,0,217.117.226.145,100,326,1,2026-01-20 08:31:34,R_2NX6IHw7UbJnZI0,,,,,52.3109,4.9453,anonymous,EN,1,1,1,"5,6",2,2,2,2,6,6,5,2,,3,,2,6,6,1,2,,3,,6,7,2,5,1,,1,"An explicit recall of the time in my life, when i was listening to this song and relating to it ",2,5,2,1,2,,3,,6,2,6,5,1,,3,,2,2,5,1,3,,3,
2026-01-20 08:29:59,2026-01-20 08:34:37,0,146.50.201.91,100,277,1,2026-01-20 08:34:37,R_80Z2aLZO8WBP0Pj,,,,,52.3474,4.9284,anonymous,EN,1,1,3,5,1,2,2,6,7,5,5,2,,1,When I was a kid my sister used to pick me up from school. We used to listen this song on our ride back home. It reminded me of my school time / childhood,5,4,5,1,2,,3,,7,7,7,5,3,,1,"It also reminds me of the time I was a chil. this songs was trendy. ",4,7,4,1,3,,2,"I actually like the original one. maybe because that one was the one i am used to ",4,4,5,4,1,,3,,5,3,4,1,2,,3,
2026-01-20 08:29:33,2026-01-20 08:35:58,0,104.28.30.79,100,384,1,2026-01-20 08:35:59,R_29nBDUMVMLfj4Nw,,,,,52.0758,4.2925,anonymous,EN,1,5,1,6,2,2,2,6,5,5,5,2,,3,,3,5,5,2,2,,3,,3,3,4,5,3,,3,,4,4,4,1,2,,3,,5,4,3,5,1,,3,,3,5,4,2,3,,3,
2026-01-20 08:32:17,2026-01-20 08:38:07,0,217.105.50.216,100,349,1,2026-01-20 08:38:08,R_2JJnczFo3HXtOj7,,,,,52.2961,4.9549,anonymous,EN,1,1,1,5,2,2,2,2,6,6,5,2,,3,,2,6,6,1,2,,3,,5,6,6,5,2,,3,,6,6,6,1,2,,3,,6,5,6,5,3,,3,,6,5,6,1,3,,3,
2026-01-20 08:38:06,2026-01-20 08:44:40,0,42.118.49.236,100,393,1,2026-01-20 08:44:40,R_4JUwzk74OWW1qyl,,,,,21.0184,105.8461,anonymous,EN,1,1,1,5,1,2,2,3,2,4,4,2,,3,,3,5,5,1,3,,3,,3,5,5,4,1,,3,,5,4,4,1,2,,3,,5,6,5,5,3,,3,,5,5,4,2,2,,3,
2026-01-20 08:47:28,2026-01-20 08:49:29,0,1.55.68.97,100,121,1,2026-01-20 08:49:30,R_4X2RXAodlOVVnAR,,,,,21.0184,105.8461,anonymous,EN,1,1,1,4,1,1,2,3,3,3,2,2,,3,,4,4,4,2,2,,3,,5,5,5,3,2,,2,,5,5,5,3,2,,3,,4,4,4,3,2,,2,,4,4,4,2,2,,3,
